Subject,Course Number,Course Name,Course Code,Workload %
"ALA","228","Intergroup Conflict and Coexistence:  Religion, Ethnicity and Culture","ALA228","N/A"
"ALA","240","Living Well in College and Beyond for Developing Leaders","ALA240","15"
"ALA","250","Topics in Critical Issues","ALA250","23"
"ALA","251","On Purpose: Designing and Living a Big Life","ALA251","8"
"ALA","256","Innovator's Toolkit","ALA256","6"
"ALA","256","Stewarding Technological Futures","ALA256","N/A"
"ALA","257","Social Impact by Design","ALA257","N/A"
"ALA","258","Cultivating Culturally Sustainable Entrepreneurship","ALA258","N/A"
"ALA","259","Religious and Ethnic Tolerance","ALA259","N/A"
"ALA","260","Humanities Topics in ALA","ALA260","9"
"ALA","264","Interdisciplinary Topics in ALA","ALA264","6"
"ALA","265","Topics for Professional Development","ALA265","14"
"ALA","270","Applied Liberal Arts Topics","ALA270","14"
"ALA","275","Lead and Follow: Foundations for Effective Leadership","ALA275","4"
"ALA","280","Undergraduate Research","ALA280","N/A"
"ALA","281","Entering Research","ALA281","3"
"ALA","290","Public Speaking in the Digital Age","ALA290","17"
"ALA","291","Public Speaking:  World of Work","ALA291","0"
"ALA","292","Argumentation and Debate","ALA292","N/A"
"ALA","295","Foundations of the Liberal Arts","ALA295","N/A"
"ALA","297","Music and Meaning in Our Lives: Identity, Place, and Contemporary Issues","ALA297","N/A"
"ALA","298","Inside the Local Music Community","ALA298","N/A"
"ALA","301","Tours of the Past","ALA301","0"
"ALA","306","Interdisciplinary and Intersectional LGBTQ Health","ALA306","39"
"ALA","315","Popular Science","ALA315","3"
"ALA","320","Processes of Intergroup Dialogues Facilitation","ALA320","19"
"ALA","321","Practicum in Facilitating Intergroup Dialogues","ALA321","70"
"ALA","322","Advanced Practicum in Intergroup Relations","ALA322","N/A"
"ALA","323","IGR Directed Study","ALA323","N/A"
"ALA","324","Facilitation for Effective Leadership","ALA324","N/A"
"ALA","324","Facilitation in Community Settings","ALA324","N/A"
"ALA","325","Putting Your Education to Work","ALA325","10"
"ALA","350","Predicting the Future","ALA350","1"
"ALA","361","Social Science Topics in ALA","ALA361","N/A"
"ALA","370","Applied Liberal Arts Topics","ALA370","12"
"ALA","380","Let's Talk Undergraduate Research: Communicating Scholarly Inquiry Within Academia and Beyond","ALA380","14"
"ALA","410","Organizing for Global Social Justice","ALA410","N/A"
"ALA","421","Creating Inclusive Communities","ALA421","N/A"
"ALA","429","IGR Senior Capstone: Social Justice in the Real World","ALA429","N/A"
"ALA","470","Applied Liberal Arts Topics","ALA470","10"
"ALA","471","Leadership and Facilitation in Community Building","ALA471","N/A"
"ALA","472","Advanced Leadership and Facilitation in Community","ALA472","N/A"
"AMAS","102","First Year Seminar in Arab American Studies","AMAS102","N/A"
"AMAS","206","Themes in Arab American Studies","AMAS206","N/A"
"AMAS","215","Introduction to Arab-American Studies","AMAS215","4"
"AMAS","216","Introduction to American Muslims","AMAS216","34"
"AMAS","229","The Qur'an as Utopian Text","AMAS229","N/A"
"AMAS","248","Arab America: Art, Cultural Politics, and Activism","AMAS248","N/A"
"AMAS","301","Topics in Arab American Studies","AMAS301","7"
"AMAS","310","Arab American Studies and the Social Sciences","AMAS310","N/A"
