Subject,Course Number,Course Name,Course Code,Workload %,Advisory Prerequisites,Enforced Prerequisites
"EECS","571","Principles of Real Time Computing","EECS571","24","EECS 470 and 482 or permission of instructor.","N/A"
"EECS","572","Randomness and Computation","EECS572","34","Coursework in probability and algorithms","EECS 376; (B+ or better, no OP/F) or Graduate Standing"
"EECS","573","Microarch","EECS573","4","EECS 470, or permission of instructor.","N/A"
"EECS","574","Computational Complexity","EECS574","23","Coursework in probability and algorithms","EECS 376; (B+ or better, no OP/F) or Graduate Standing"
"EECS","575","Advanced Cryptography","EECS575","41","EECS 203 or equivalent.  EECS 574 recommended","EECS 376; (B+ or better, no OP/F) or Graduate Standing"
"EECS","579","Digital Systems Testing","EECS579","N/A","Graduate standing","N/A"
"EECS","582","Adv Operat Sys","EECS582","26","EECS 482/EQ.","N/A"
"EECS","583","Advanced Compilers","EECS583","5","EECS 281 and 370 (EECS 483 is also recommended)","N/A"
"EECS","584","Advanced Database Systems","EECS584","21","EECS 484 or permission of instructor","N/A"
"EECS","586","Design and Analysis of Algorithms","EECS586","54","EECS 281 or 403","EECS 376; (B+ or better, no OP/F) or Graduate Standing"
"EECS","587","Parallel Computing","EECS587","17","EECS 281; graduate standing","N/A"
"EECS","588","Computer and Network Security","EECS588","N/A","EECS 482 or 489; or graduate standing.","N/A"
"EECS","589","Adv Comp Net","EECS589","N/A","EECS 489","N/A"
"EECS","590","Advanced Programming Languages","EECS590","35","EECS 281 or equivalent","N/A"
"EECS","591","Distribute Sys","EECS591","37","EECS 482 and graduate standing.","N/A"
"EECS","592","Foundations of Artificial Intelligence","EECS592","22","N/A","Graduate"
"EECS","593","Human-Computer Interaction","EECS593","54","N/A","Graduate"
"EECS","595","Natural Language Processing","EECS595","34","Senior standing","N/A"
"EECS","596","M Eng Team Project","EECS596","N/A","Enrollment in the Manuf. Eng. program in EECS.","N/A"
"EECS","598","Special Topics","EECS598","21","Permission of instructor or counselor.","N/A"
"EECS","599","Directed Study","EECS599","N/A","Prior arrangement with instructor.","N/A"
"EECS","600","Func Meth Sys Thry","EECS600","N/A","EECS 400 or Math 419.","N/A"
"EECS","601","Introduction to CSE Graduate Research","EECS601","1","N/A","Graduate"
"EECS","602","Reinforcement Learning Theory","EECS602","N/A","EECS 501","N/A"
"EECS","605","Data Science and Machine Learning Design","EECS605","11","EECS 505 or 551 or graduate equivalent","N/A"
"EECS","620","Electronic and Optical Properties of Semiconductors","EECS620","N/A","EECS 520 or EECS 540","N/A"
"EECS","627","VLSI Design II","EECS627","68","EECS 427 advised.","N/A"
"EECS","628","Advanced High Performance VLSI Design","EECS628","N/A","N/A","EECS 627; (C or better, No OP/F)"
"EECS","633","Num Meth E-M","EECS633","N/A","EECS 530","N/A"
"EECS","634","Nonlinear Optics","EECS634","N/A","EECS 537 or 538 or 530. Graduate standing.","N/A"
"EECS","638","Quantum Opt","EECS638","31","PHYSICS,Quantum mechanics, electrodynamic and atomic physics.","N/A"
"EECS","644","Comp Model Cogn","EECS644","14","Graduate standing.","N/A"
"EECS","692","Advanced Artificial Intelligence","EECS692","8","N/A","EECS 592 or 492; (C or better, No OP/F)"
"EECS","698","Master's Thesis","EECS698","N/A","Election of an EECS ,Master's Thesis Option. May be elected for a maximum of 6 credit hours.","N/A"
"EECS","699","Research Work CSE","EECS699","N/A","Graduate standing and permission of instructor.","N/A"
"EECS","730","Topic Electromagnet","EECS730","N/A","Permission of instructor.","N/A"
"EECS","990","Diss-Precand","EECS990","N/A","Election for dissertation work by doctoral student not yet admitted as a Candidate.","N/A"
"EECS","995","Diss-Cand","EECS995","N/A","N/A","Candidate"
"EER","390","Undergraduate Independent / Directed Study","EER390","N/A","N/A","Sophomore or Junior Standing"
"EER","490","Undergraduate Advanced Independent / Directed Study","EER490","N/A","N/A","Senior Only"
"EER","598","Special Topics in Engineering Education Research","EER598","N/A","Permission of instructor.","N/A"
"EER","601","Foundations of Engineering Education Research","EER601","0","N/A","N/A"
"EER","602","Theoretical and Conceptual Frameworks in Engineering Education Research","EER602","14","N/A","N/A"
"EER","610","Practicum - Immersive Learning Experience","EER610","N/A","N/A","EER 601 and EER 602; (C or better, No OP/F)"
"EER","690","Grad Ind Study","EER690","N/A","N/A","Graduate"
"EER","990","Diss/Pre-Cand","EER990","N/A","Election for dissertation work by doctoral student not yet admitted as a Candidate. Graduate standing.","N/A"
"EER","995","Diss-Cand","EER995","N/A","N/A","Candidate"
"EHS","504","Genes&the Envir","EHS504","0","N/A","N/A"
"EHS","510","Responsible Conduct in Research and Scholarship","EHS510","5","N/A","N/A"
"EHS","556","Occ Ergonomics","EHS556","69","N/A","N/A"
"EHS","570","Water Quality Management","EHS570","0","G.STD.","N/A"
"EHS","572","Env Imp Asmnt","EHS572","N/A","EHS 507, EHS 574, or equivalent, Permission from instructor","N/A"
"EHS","574","Environmental Chemistry","EHS574","10","CHEM 215/216","N/A"
"EHS","576","Biological Agents","EHS576","3","Biology, Chem, Grad Standing or Permission of Instructor.","N/A"
"EHS","578","Practical Training","EHS578","N/A","N/A","N/A"
"EHS","585","Psychosocial Factors Impacting Environmental and Occupational Health","EHS585","N/A","Graduate standing. Undergraduate with permission.","N/A"
"EHS","588","Environmental Law","EHS588","13","N/A","N/A"
"EHS","591","Environmental Toxicology In Communities","EHS591","0","Successful completion of PUBHLTH 514 is preferred","N/A"
"EHS","592","Infectious Disease And Emergency Response In Communities","EHS592","16","Successful completion of PUBHLTH 514 is preferred","PUBHLTH 501 or 514; (C- or better)"
"EHS","593","Risk Assessment For Decision-making","EHS593","31","Successful completion of PUBHLTH 514 is preferred","N/A"
"EHS","594","Global Environment and Health","EHS594","20","N/A","PUBHLTH 501 or 514; (C- or better)"
"EHS","596","Climate, Justice, Health and Sustainability","EHS596","31","N/A","PUBHLTH 501 or 514; (C- or better)"
"EHS","597","Environmental Health and Policy","EHS597","38","N/A","PUBHLTH 501 or 514; (C- or better)"
"EHS","601","Exposure Science and Health","EHS601","3","N/A","N/A"
